desc	IAPS	valmn	valsd	aromn	arosd	dom1mn	dom1sd	dom2mn	dom2sd	set
Snake	1019	3.95	1.96	5.77	1.83	4.23	2.08			12
Snake	1022	4.26	2.04	6.02	1.97	3.9	2.21			12
Snake	1030	4.30	2.35	5.46	2.43	4.56	2.43			1
Snake	1040	3.99	2.24	6.25	2.13	3.92	2.13			1
Snake	1050	3.46	2.15	6.87	1.68	3.08	1.93			6
Snake	1051	3.80	1.75	5.95	1.98	3.8	2.21			12
Snake	1052	3.50	1.87	6.52	2.23	3.36	2.26			11
Snake	1070	3.96	2.30	6.16	2.08	3.71	2.08			1
Snake	1080	4.24	2.08	5.69	2.28	4.33	2.28			1
Snake	1090	3.70	1.90	5.88	2.15	3.82	2.27			2
Snake	1101	4.10	1.85	5.83	2.25	4.13	2.3			11
Snake	1110	3.84	1.89	5.96	2.16	3.84	2.31			2
Snakes	1111	3.25	1.64	5.20	2.25	4.8	2.41	4.34	2.06	7
Snake	1112	4.71	1.70	4.60	2.44	5.27	2.2			8
Snake	1113	3.81	1.75	6.06	2.12	3.91	2.1			8
Snake	1114	4.03	2.16	6.33	2.17			4	2.49	14
Snake	1120	3.79	1.93	6.93	1.68	3.87	2.31			3
Lizard	1121	5.79	1.61	4.83	1.98	5.89	1.99			11
Spider	1200	3.95	2.22	6.03	2.38	4.33	2.38			1
Spider	1201	3.55	1.88	6.36	2.11	3.87	2.3	3.63	2.27	7
Spider	1205	3.65	1.76	5.79	2.18			4.1	2.19	14
Spider	1220	3.47	1.82	5.57	2.34	4.54	2.34			1
Spider	1230	4.09	1.63	4.85	2.25	4.58	2.25			1
Spider	1230	4.61	1.74	4.03	2.41	5.6	1.96			2
Spider	1240	4.22	1.94	4.92	2.17	4.95	2.17			1
Roach	1270	3.68	1.85	4.77	2.44	5.25	2.48			4
Roaches	1274	3.17	1.53	5.39	2.39	5.03	2.38			5
Roaches	1275	3.30	1.65	4.81	2.22	5.11	2.23			6
Rat	1280	3.66	1.75	4.93	2.01	5.05	2.2			4
PitBull	1300	3.55	1.78	6.79	1.84	3.49	2.1			3
Dog	1301	3.70	1.66	5.77	2.18	3.96	1.98			8
Dog	1302	4.21	1.78	6.00	1.87	4.04	2.11	3.87	1.91	7
Dog	1303	4.68	2.11	5.70	2.04	4.98	2.12			11
Leopard	1310	4.60	1.62	6.00	1.80	4.37	1.97			3
Frog	1313	5.65	1.47	4.39	2.03	5.91	1.91			11
Bear	1321	4.32	1.87	6.64	1.89	3.51	2.12			12
Parrots	1333	6.11	1.50	3.17	1.97			6.29	2.04	13
Women	1340	7.13	1.57	4.75	2.31	6.13	1.78			11
Bees	1390	4.50	1.56	5.29	1.97	4.75	1.84			3
Birds	1419	6.54	1.45	3.48	1.95			5.82	1.97	13
Seal	1440	8.19	1.53	4.61	2.54	6.05	2.38			6
Gannet	1450	6.37	1.62	2.83	1.87	6.75	1.87			1
Kitten	1460	8.21	1.21	4.31	2.63	6	2			5
Kittens	1463	7.45	1.76	4.79	2.19	6.43	1.92			8
Dog	1500	7.24	1.88	4.12	2.50	6.97	2.5			1
Dog	1510	7.01	2.07	4.28	2.47	6.29	2.47			1
AttackDog	1525	3.09	1.72	6.51	2.25			3.15	2.2	13
Cat	1540	7.15	1.96	4.54	2.35	7.01	2.35			1
Hawk	1560	5.97	2.32	5.51	2.19	5.18	2.19			1
Horse	1590	7.18	1.64	4.74	2.13	5.54	1.88			2
Horse	1590	7.24	1.45	4.80	2.10	5.62	1.82			3
Horse	1600	7.37	1.56	4.05	2.37	6.75	2.37			1
Giraffes	1601	6.86	1.51	3.92	2.07	6.24	1.86			8
Butterfly	1602	6.50	1.64	3.43	1.96	6.41	1.82			8
Butterfly	1603	6.90	1.48	3.37	2.20	6.57	2.09			10
Butterfly	1604	7.11	1.41	3.30	2.17	6.69	2.11			9
Rabbit	1610	7.82	1.34	3.08	2.19	6.77	2.19			1
Rabbit	1610	7.69	1.34	3.98	2.40	6.52	2.1			2
Bird	1616	5.21	1.12	3.95	1.95	5.67	1.77			11
Sprgbok	1620	7.37	1.56	3.54	2.34	6.82	2.34			1
Coyote	1640	6.27	2.22	5.13	2.20	5.22	2.2			1
Coyote	1640	6.16	1.88	5.18	1.93	4.91	2			2
Jaguar	1650	6.65	2.25	6.23	1.99	4.29	1.99			1
Gorilla	1660	6.49	1.89	4.57	2.39	5.46	2.39			1
Orangutan	1661	6.14	1.56	4.05	2.05			6	1.83	14
Cow	1670	6.81	1.76	3.05	1.91	6.53	1.91			1
Cow	1670	5.82	1.63	3.33	1.98	5.63	1.8			2
Puppies	1710	8.34	1.12	5.41	2.34	6.55	1.98			3
Lion	1720	6.79	1.56	5.32	1.82	4.63	2.28			3
Lion	1721	7.30	1.39	4.53	2.21	5.57	2.07			10
Jaguars	1722	7.04	2.02	5.22	2.49	6.12	2.29			12
Tiger	1726	4.79	2.10	6.23	2.19			4	2.33	14
Lion	1731	7.07	1.58	4.56	2.50			5.85	2.19	14
Owl	1740	6.91	1.38	4.27	2.03	5.85	1.79			3
Bunnies	1750	8.28	1.07	4.10	2.31	6.15	2.01			3
Hippo	1810	6.52	1.49	4.45	2.11	4.55	1.81			5
Monkies	1811	7.62	1.59	5.12	2.25	6.07	1.96	5.99	1.95	7
Elephants	1812	6.83	1.33	3.60	2.11	5.91	1.84			9
Camels	1850	6.15	1.52	4.06	2.14	5.94	1.91			12
Fish	1900	6.65	1.80	3.46	2.32	6.07	2.22			4
Grouper	1910	6.71	1.80	3.29	2.29	6.44	2.13			4
Porpoise	1920	7.90	1.48	4.27	2.53	6.5	2.18			4
Shark	1930	3.79	1.92	6.42	2.07	3.19	2.15			4
Shark	1931	4.00	2.28	6.80	2.02	3.51	2.54	2.74	1.84	7
Shark	1932	3.85	2.11	6.47	2.20			3.44	2.16	13
HermitCrab	1935	4.88	1.44	4.29	1.95			5.5	2	14
Turtles	1942	6.26	1.76	4.01	2.05	5.95	2.13			12
Turtle	1945	4.59	1.68	4.42	2.03	5.57	2.07			11
Octopus	1947	5.85	1.77	4.35	2.37			5.77	2.05	13
Mickey	1999	7.43	1.47	4.77	2.40	6.64	1.96			8
Adult	2000	6.51	1.83	3.32	2.07	6.65	2.07			1
AttractiveMan	2005	6.00	1.82	4.07	2.44			5.84	1.88	13
Adult	2010	6.25	1.84	3.32	2.07	6.24	2.07			1
Adult	2020	5.68	1.99	3.34	1.89	5.99	1.89			1
Woman	2025	5.78	1.26	4.30	2.16			5.81	1.85	14
Woman	2030	6.71	1.73	4.54	2.37	5.6	1.67			2
Baby	2040	8.17	1.60	4.64	2.54	7.33	2.54			1
Baby	2050	8.20	1.31	4.57	2.53	7.71	2.53			1
Baby	2053	2.47	1.87	5.25	2.46	3.56	2			8
Father	2057	7.81	1.28	4.54	2.41	6.76	1.94			10
Baby	2058	7.91	1.26	5.09	2.48	6.67	1.96			11
Baby	2070	8.17	1.46	4.51	2.74	7.14	2.1			4
Baby	2071	7.86	1.32	5.00	2.34			6.61	2.02	14
